table_name,columns,drift,pearson_corr_loss,spearman_corr_loss,src_dataset,dst_dataset
aka_name,person_id,0.1436508192052767,0.0,0.0,imdb,imdb_2017
aka_title,"kind_id,production_year",0.0811037191961236,0.0823916871684002,0.0826249634805791,imdb,imdb_2017
movie_companies,"movie_id,company_id",0.2105560184639513,0.0406437108567989,0.0476968300831902,imdb,imdb_2017
movie_keyword,"movie_id,keyword_id",0.2035569397463175,0.0141651209565521,0.0184736307554737,imdb,imdb_2017
movie_link,"movie_id,linked_movie_id,link_type_id",0.2614276802623668,0.1828720639676099,0.2040364776509273,imdb,imdb_2017
person_info,"person_id,info_type_id",0.1315497144769982,0.0031210459626158,0.0010543184135865,imdb,imdb_2017
title,production_year,0.2744759569216434,0.0248812646042211,0.0336668554687539,imdb,imdb_2017
aka_name,person_id,0.1652000481014998,0.0,0.0,imdb_2013,imdb_2017
aka_title,"kind_id,production_year",0.106158436957954,0.0643363265476637,0.0629125213122792,imdb_2013,imdb_2017
movie_companies,"movie_id,company_id",0.1896935921049327,0.0332930242430629,0.0392351194899695,imdb_2013,imdb_2017
movie_keyword,"movie_id,keyword_id",0.210059720090574,0.0156772580909509,0.02233712156633,imdb_2013,imdb_2017
movie_link,"movie_id,linked_movie_id,link_type_id",0.3910577833111748,0.0867672576628385,0.1336731046868894,imdb_2013,imdb_2017
person_info,"person_id,info_type_id",0.0875054310583973,0.0024243074630858,0.0004770299911467,imdb_2013,imdb_2017
title,production_year,0.2084561402394015,0.0166815959489154,0.0255566798345627,imdb_2013,imdb_2017
aka_name,person_id,0.1588622278365064,0.0,0.0,imdb_2014,imdb_2017
aka_title,"kind_id,production_year",0.0717465543552685,0.0491420675417181,0.0551096440440566,imdb_2014,imdb_2017
movie_companies,"movie_id,company_id",0.1751847363626429,0.023599739900038,0.0278738905544228,imdb_2014,imdb_2017
movie_keyword,"movie_id,keyword_id",0.1781950574627031,0.0140347215381564,0.0153308930649186,imdb_2014,imdb_2017
movie_link,"movie_id,linked_movie_id,link_type_id",0.3667050637905025,0.0909517435848568,0.1346778116797213,imdb_2014,imdb_2017
person_info,"person_id,info_type_id",0.07561291718,0.0039466630922271,0.0020583549693932,imdb_2014,imdb_2017
title,production_year,0.157511686725199,0.0137653165919432,0.0195625072511312,imdb_2014,imdb_2017
aka_name,person_id,0.1624367165122178,0.0,0.0,imdb_2015,imdb_2017
aka_title,"kind_id,production_year",0.0593400804189336,0.0324275854740683,0.0510740749046062,imdb_2015,imdb_2017
movie_companies,"movie_id,company_id",0.1361915872476211,0.0096191813022617,0.0113646057104546,imdb_2015,imdb_2017
movie_keyword,"movie_id,keyword_id",0.1586855226397436,0.0090618005044797,0.0062532133414505,imdb_2015,imdb_2017
movie_link,"movie_id,linked_movie_id,link_type_id",0.1786324302110312,0.0138966133566989,0.0076553815569677,imdb_2015,imdb_2017
person_info,"person_id,info_type_id",0.0737768066839091,0.0019800069856462,0.0011499826486175,imdb_2015,imdb_2017
title,production_year,0.0476308098099563,0.0121567704302626,0.0163470989870543,imdb_2015,imdb_2017
aka_name,person_id,0.15128361432957774,0.0,0.0,imdb_2016,imdb_2017
aka_title,"kind_id,production_year",0.03207307751235486,0.023331884537883804,0.04525721587310608,imdb_2016,imdb_2017
movie_companies,"movie_id,company_id",0.08967493208825551,0.0023926237418869234,0.0030572775355317237,imdb_2016,imdb_2017
movie_keyword,"movie_id,keyword_id",0.12413680236796158,0.0018421972992914756,0.0009092586172020477,imdb_2016,imdb_2017
movie_link,"movie_id,linked_movie_id,link_type_id",0.14471757938002558,0.008544951102684611,0.006951104885050863,imdb_2016,imdb_2017
person_info,"person_id,info_type_id",0.06169405756215293,0.0015369840100228089,0.0009131141725683828,imdb_2016,imdb_2017
title,production_year,0.02222553278380405,0.004982605121445702,0.00896920795338063,imdb_2016,imdb_2017
aka_name,person_id,0.1603098497901751,0.0,0.0,imdb,imdb_2015
aka_title,"kind_id,production_year",0.048777146073541,0.0562913378816221,0.0574190618149092,imdb,imdb_2015
movie_companies,"movie_id,company_id",0.1721991914324172,0.0310245295545371,0.0363322243727355,imdb,imdb_2015
movie_keyword,"movie_id,keyword_id",0.1938538875374936,0.0051033204520724,0.0122204174140231,imdb,imdb_2015
movie_link,"movie_id,linked_movie_id,link_type_id",0.2970231321561724,0.1967686773243089,0.2106653912490355,imdb,imdb_2015
person_info,"person_id,info_type_id",0.0999885345255864,0.0011410389769695,9.566423503101772e-05,imdb,imdb_2015
title,production_year,0.1938068597498602,0.013044850137585,0.0173197564816995,imdb,imdb_2015
aka_name,person_id,0.1676225460870222,0.0,0.0,imdb_2013,imdb_2015
aka_title,"kind_id,production_year",0.0577808665748185,0.0534425967532175,0.0425899246024403,imdb_2013,imdb_2015
movie_companies,"movie_id,company_id",0.1466538001202553,0.0236738429408011,0.0278705137795148,imdb_2013,imdb_2015
movie_keyword,"movie_id,keyword_id",0.2270016254948891,0.0066154575864712,0.0160839082248795,imdb_2013,imdb_2015
movie_link,"movie_id,linked_movie_id,link_type_id",0.356417156784232,0.0792062810648498,0.1298342033552516,imdb_2013,imdb_2015
person_info,"person_id,info_type_id",0.0769112870335485,0.0004443004774395,0.0006729526574708,imdb_2013,imdb_2015
title,production_year,0.1082839904630939,0.0080512812034099,0.0183662488756255,imdb_2013,imdb_2015
aka_name,person_id,0.155765144890342,0.0,0.0,imdb_2014,imdb_2015
aka_title,"kind_id,production_year",0.0231596726626395,0.0377925423211664,0.0356366223634791,imdb_2014,imdb_2015
movie_companies,"movie_id,company_id",0.0861265120378771,0.0141034989193347,0.0165092848439681,imdb_2014,imdb_2015
movie_keyword,"movie_id,keyword_id",0.1256143991147008,0.0049729210336766,0.0090776797234681,imdb_2014,imdb_2015
movie_link,"movie_id,linked_movie_id,link_type_id",0.2754891518034746,0.0801698242432728,0.1308389103480834,imdb_2014,imdb_2015
